product_id,supplier_id,sku,product_name,category,brand,cost_price,selling_price,stock_quantity,last_update
1,1,EL-001,Wireless Mouse 1,Electronics,TechNova,6.88,9.83,25,2025-12-18
2,1,EL-002,Wireless Mouse 2,Electronics,TechNova,55.75,102.02,12,2026-02-14
3,1,EL-003,USB-C Hub 3,Electronics,TechNova,7.38,9.67,25,2026-02-03
4,1,EL-004,Wireless Mouse 4,Electronics,TechNova,47.09,80.78,150,2026-01-23
5,1,EL-005,Bluetooth Speaker 5,Electronics,TechNova,38.69,55.36,8,2026-03-08
6,1,EL-006,Bluetooth Speaker 6,Electronics,TechNova,57.36,84.39,18,2025-12-28
7,1,EL-007,Smart Plug 7,Electronics,TechNova,12.67,18.97,60,2026-03-19
8,1,EL-008,Smart Plug 8,Electronics,TechNova,50.28,89.23,120,2026-02-07
9,1,EL-009,Wireless Mouse 9,Electronics,TechNova,77.98,116.66,150,2026-01-07
10,1,EL-010,Smart Plug 10,Electronics,TechNova,48.3,82.5,8,2026-02-23
11,1,EL-011,Bluetooth Speaker 11,Electronics,TechNova,62.98,119.06,25,2026-03-21
12,1,EL-012,Wireless Mouse 12,Electronics,TechNova,33.51,51.76,60,2025-12-21
13,1,EL-013,Smart Plug 13,Electronics,TechNova,31.65,53.35,12,2026-02-16
14,1,EL-014,Bluetooth Speaker 14,Electronics,TechNova,45.06,63.5,120,2026-01-18
15,4,HO-015,Wall Shelf 1,Home,HomeStyle,79.21,131.96,150,2025-12-29
16,4,HO-016,Wall Shelf 2,Home,HomeStyle,68.21,119.67,25,2026-03-16
17,4,HO-017,Storage Box 3,Home,HomeStyle,65.38,98.77,12,2025-12-28
18,4,HO-018,Wall Shelf 4,Home,HomeStyle,20.95,32.99,120,2025-12-19
19,4,HO-019,Wall Shelf 5,Home,HomeStyle,15.47,26.83,150,2026-01-03
20,4,HO-020,Air Humidifier 6,Home,HomeStyle,72.34,109.21,25,2025-12-18
21,4,HO-021,Air Humidifier 7,Home,HomeStyle,11.82,15.14,12,2025-12-20
22,4,HO-022,Desk Lamp 8,Home,HomeStyle,64.41,98.19,12,2026-01-19
23,4,HO-023,Air Humidifier 9,Home,HomeStyle,49.69,77.23,40,2026-02-09
24,4,HO-024,Storage Box 10,Home,HomeStyle,56.02,74.2,150,2026-03-07
25,4,HO-025,Wall Shelf 11,Home,HomeStyle,62.64,92.15,40,2026-01-25
26,4,HO-026,Desk Lamp 12,Home,HomeStyle,39.03,72.99,40,2026-02-03
27,4,HO-027,Desk Lamp 13,Home,HomeStyle,43.08,56.83,40,2026-03-18
28,4,HO-028,Desk Lamp 14,Home,HomeStyle,16.46,28.73,150,2026-03-10
29,5,FI-029,Yoga Mat 1,Fitness,UrbanFit,49.92,78.25,12,2026-03-29
30,5,FI-030,Foam Roller 2,Fitness,UrbanFit,70.9,126.95,40,2025-12-31
31,5,FI-031,Yoga Mat 3,Fitness,UrbanFit,23.07,37.35,12,2025-12-11
32,5,FI-032,Jump Rope 4,Fitness,UrbanFit,66.2,124.83,150,2026-03-09
33,5,FI-033,Resistance Band 5,Fitness,UrbanFit,14.63,22.81,150,2025-12-22
34,5,FI-034,Foam Roller 6,Fitness,UrbanFit,44.58,73.3,25,2026-03-29
35,5,FI-035,Resistance Band 7,Fitness,UrbanFit,58.47,88.25,60,2026-01-26
36,5,FI-036,Jump Rope 8,Fitness,UrbanFit,14.08,19.66,60,2025-12-03
37,5,FI-037,Resistance Band 9,Fitness,UrbanFit,49.13,61.64,8,2025-12-30
38,5,FI-038,Yoga Mat 10,Fitness,UrbanFit,72.91,131.88,12,2026-02-04
39,5,FI-039,Resistance Band 11,Fitness,UrbanFit,25.89,40.53,150,2025-12-17
40,5,FI-040,Jump Rope 12,Fitness,UrbanFit,23.22,36.16,90,2025-12-25
41,5,FI-041,Yoga Mat 13,Fitness,UrbanFit,12.27,18.78,90,2026-01-22
42,5,FI-042,Jump Rope 14,Fitness,UrbanFit,69.79,89.69,12,2025-12-08
43,6,BE-043,Makeup Mirror 1,Beauty,BeautyPro,59.62,105.55,12,2026-01-01
44,6,BE-044,Hair Dryer 2,Beauty,BeautyPro,19.27,29.71,90,2025-12-24
45,6,BE-045,Body Lotion 3,Beauty,BeautyPro,39.7,72.19,12,2026-01-26
46,6,BE-046,Face Cleanser 4,Beauty,BeautyPro,8.79,16.7,8,2025-12-12
47,6,BE-047,Hair Dryer 5,Beauty,BeautyPro,17.47,27.35,25,2026-03-21
48,6,BE-048,Makeup Mirror 6,Beauty,BeautyPro,72.68,98.63,8,2026-01-19
49,6,BE-049,Body Lotion 7,Beauty,BeautyPro,74.49,131.13,40,2026-01-24
50,6,BE-050,Makeup Mirror 8,Beauty,BeautyPro,16.61,23.97,8,2026-02-13
51,6,BE-051,Face Cleanser 9,Beauty,BeautyPro,61.1,78.65,120,2026-02-03
52,6,BE-052,Hair Dryer 10,Beauty,BeautyPro,9.27,14.65,18,2025-12-09
53,6,BE-053,Face Cleanser 11,Beauty,BeautyPro,55.64,78.06,12,2026-03-31
54,6,BE-054,Hair Dryer 12,Beauty,BeautyPro,48.42,61.78,12,2026-01-23
55,6,BE-055,Body Lotion 13,Beauty,BeautyPro,75.1,103.85,60,2025-12-31
56,6,BE-056,Body Lotion 14,Beauty,BeautyPro,34.68,58.49,40,2026-01-28
